,title,year,url,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
1,Clara Howard,1801,/wiki/Clara_Howard,9,6,"7
                                ·
                                (77.8%)",176,0
2,"Equality; or, A History of Lithconia",1802,"/wiki/Equality;_or,_A_History_of_Lithconia",24,19,"13
                                ·
                                (54.2%)",74,0
3,Memoirs of Carwin the Biloquist,1803,/wiki/Memoirs_of_Carwin_the_Biloquist,23,17,"16
                                ·
                                (69.6%)",1178,0
4,Kelroy,1812,/wiki/Kelroy,30,26,"14
                                ·
                                (46.7%)",799,1
5,Precaution (novel),1820,/wiki/Precaution_(novel),49,29,"28
                                ·
                                (57.1%)",94,2
6,Owen Chase,1821,/wiki/Owen_Chase,178,122,"47
                                ·
                                (26.4%)",1001,16
7,The Spy (Cooper novel),1821,/wiki/The_Spy_(Cooper_novel),26,17,"19
                                ·
                                (73.1%)",147,2
8,The Pioneers (novel),1823,/wiki/The_Pioneers_(novel),205,124,"76
                                ·
                                (37.1%)",396,16
9,The Wilderness (novel),1823,/wiki/The_Wilderness_(novel),30,10,"26
                                ·
                                (86.7%)",97,0
10,Hobomok,1824,/wiki/Hobomok,32,13,"29
                                ·
                                (90.6%)",154,0
11,The Pilot: A Tale of the Sea,1824,/wiki/The_Pilot:_A_Tale_of_the_Sea,33,25,"18
                                ·
                                (54.5%)",132,1
12,Lionel Lincoln,1825,/wiki/Lionel_Lincoln,57,23,"43
                                ·
                                (75.4%)",950,1
13,The Last of the Mohicans,1826,/wiki/The_Last_of_the_Mohicans,1485,858,"207
                                ·
                                (13.9%)",2854,185
14,Hope Leslie,1827,/wiki/Hope_Leslie,160,104,"45
                                ·
                                (28.1%)",1737,13
15,The Prairie,1827,/wiki/The_Prairie,152,69,"86
                                ·
                                (56.6%)",1078,4
16,The Red Rover,1827,/wiki/The_Red_Rover,79,29,"57
                                ·
                                (72.2%)",796,2
17,Fanshawe (novel),1828,/wiki/Fanshawe_(novel),67,43,"33
                                ·
                                (49.3%)",792,4
18,Lucy Temple,1828,/wiki/Lucy_Temple,21,16,"15
                                ·
                                (71.4%)",64,0
19,The Water-Witch,1830,/wiki/The_Water-Witch,23,17,"16
                                ·
                                (69.6%)",151,0
20,The Bravo,1831,/wiki/The_Bravo,64,28,"44
                                ·
                                (68.8%)",424,1
21,The Dutchman's Fireside,1831,/wiki/The_Dutchman%27s_Fireside,6,6,"5
                                ·
                                (83.3%)",58,0
22,The Heidenmauer,1832,/wiki/The_Heidenmauer,45,17,"37
                                ·
                                (82.2%)",296,0
23,The Headsman: The Abbaye des Vignerons,1833,/wiki/The_Headsman:_The_Abbaye_des_Vignerons,13,10,"11
                                ·
                                (84.6%)",167,0
24,Horse-Shoe Robinson,1835,/wiki/Horse-Shoe_Robinson,21,6,"20
                                ·
                                (95.2%)",180,0
25,The Monikins,1835,/wiki/The_Monikins,17,13,"14
                                ·
                                (82.4%)",103,0
26,The Yemassee,1835,/wiki/The_Yemassee,11,7,"9
                                ·
                                (81.8%)",162,0
27,The Partisan Leader,1836,/wiki/The_Partisan_Leader,33,22,"19
                                ·
                                (57.6%)",177,0
28,Three Hundred Years Hence,1836,/wiki/Three_Hundred_Years_Hence,40,27,"23
                                ·
                                (57.5%)",269,3
29,"Equality; or, A History of Lithconia",1837,"/wiki/Equality;_or,_A_History_of_Lithconia",24,19,"13
                                ·
                                (54.2%)",74,0
30,Nick of the Woods,1837,/wiki/Nick_of_the_Woods,32,8,"31
                                ·
                                (96.9%)",354,0
31,The Narrative of Arthur Gordon Pym of Nantucket,1838,/wiki/The_Narrative_of_Arthur_Gordon_Pym_of_Nantucket,736,251,"359
                                ·
                                (48.8%)",5249,41
32,Hyperion (Longfellow novel),1839,/wiki/Hyperion_(Longfellow_novel),68,28,"50
                                ·
                                (73.5%)",725,3
33,Mocha Dick,1839,/wiki/Mocha_Dick,204,126,"59
                                ·
                                (28.9%)",557,14
34,The Journal of Julius Rodman,1840,/wiki/The_Journal_of_Julius_Rodman,84,29,"64
                                ·
                                (76.2%)",785,1
35,Mercedes of Castile,1840,/wiki/Mercedes_of_Castile,25,13,"22
                                ·
                                (88%)",156,0
36,"The Pathfinder, or The Inland Sea",1840,"/wiki/The_Pathfinder,_or_The_Inland_Sea",71,49,"32
                                ·
                                (45.1%)",308,7
37,The Deerslayer,1841,/wiki/The_Deerslayer,178,101,"68
                                ·
                                (38.2%)",767,10
38,Franklin Evans,1842,/wiki/Franklin_Evans,135,46,"88
                                ·
                                (65.2%)",1983,1
39,The Two Admirals,1842,/wiki/The_Two_Admirals,17,11,"15
                                ·
                                (88.2%)",166,0
40,The Wing-and-Wing,1842,/wiki/The_Wing-and-Wing,14,11,"13
                                ·
                                (92.9%)",51,0
41,Autobiography of a Pocket-Handkerchief,1843,/wiki/Autobiography_of_a_Pocket-Handkerchief,16,9,"16
                                ·
                                (100%)",143,0
42,Wyandott (novel),1843,/wiki/Wyandott%C3%A9_(novel),18,14,"14
                                ·
                                (77.8%)",112,1
43,Afloat and Ashore,1844,/wiki/Afloat_and_Ashore,24,11,"23
                                ·
                                (95.8%)",455,0
44,"Fanny Campbell, the Female Pirate Captain",1844,"/wiki/Fanny_Campbell,_the_Female_Pirate_Captain",19,10,"19
                                ·
                                (100%)",1064,0
45,The Chainbearer,1845,/wiki/The_Chainbearer,45,20,"34
                                ·
                                (75.6%)",381,0
46,"The Quaker City, or The Monks of Monk Hall",1845,"/wiki/The_Quaker_City,_or_The_Monks_of_Monk_Hall",23,11,"22
                                ·
                                (95.7%)",519,1
47,Satanstoe,1845,/wiki/Satanstoe,19,9,"19
                                ·
                                (100%)",45,0
48,Typee,1846,/wiki/Typee,227,137,"70
                                ·
                                (30.8%)",687,9
49,The Crater (novel),1847,/wiki/The_Crater_(novel),24,18,"16
                                ·
                                (66.7%)",115,0
50,The Hermaphrodite,1847,/wiki/The_Hermaphrodite,93,52,"44
                                ·
                                (47.3%)",998,3
