,Author,Time,URL,Favorites,Retweets,Verified,Text
0,anitasarkeesian,Thu Nov 21 05:38:36 +0000 2019,1197388822910132224,1687,176,True,Am I extremely tired or is there not a single female speaking character in the first episode of #Mandelorian?? I've gotta have missed something right??? https://t.co/nSo7sv4CUr
1,Treedasher,Mon Nov 25 18:04:10 +0000 2019,1199026000648126464,0,0,False,@anitasarkeesian Are you assuming the gender of all the aliens? Maybe the females of a species looks masculine and the males look feminine.
2,CamB_TheCreator,Mon Nov 25 18:01:02 +0000 2019,1199025215436656642,0,0,False,@anitasarkeesian They aren't needed in the show at the moment. The main characters are the main characters. Thus they have speaking parts. What's between their legs is irrelevant .
3,ClaudioLeitaoSA,Mon Nov 25 17:54:36 +0000 2019,1199023593784520709,0,0,False,@anitasarkeesian The spelling of Mandalorian shows you how much effort she was putting into the show before even noticing a female blacksmith.
4,jaredha47816999,Mon Nov 25 17:51:50 +0000 2019,1199022897513324545,0,0,False,@anitasarkeesian Anita.... do you and people who think like you ever get tired of being negative? What you’re complaining about is really not that serious.
5,diddykilled2pac,Mon Nov 25 17:50:01 +0000 2019,1199022442028646400,0,0,False,@anitasarkeesian I'm guessing you're over thirty and single with no kids?
6,Avocado86275045,Mon Nov 25 17:49:24 +0000 2019,1199022285434179584,0,0,False,@anitasarkeesian https://t.co/TqECn7DVCK
7,dylanmattress,Mon Nov 25 17:47:43 +0000 2019,1199021863755800577,0,0,False,@anitasarkeesian Who cares lmao it's star wars
8,gustavodreyer,Mon Nov 25 17:45:32 +0000 2019,1199021313979035649,0,0,False,@anitasarkeesian https://t.co/bcitJieF0u
9,REALmr_bigot,Mon Nov 25 17:45:27 +0000 2019,1199021293456297987,0,0,False,@anitasarkeesian I'm so sick of playing Metroid and only seeing women and aliens. I gotta have missed something right???
10,S0me_jackass,Mon Nov 25 17:43:15 +0000 2019,1199020739963375618,0,0,False,"@anitasarkeesian Yeah it seems you where pretty tired when watching it. You missed the Mandalorians clan leader. One of the best scenes in the episode! Hey, that just gives you a reason to rewatch it, so I would see this as a win!"
11,FascistSoy,Mon Nov 25 17:39:32 +0000 2019,1199019804180566017,0,0,False,@anitasarkeesian https://t.co/PLzS3BAo50
12,j_bruce86,Mon Nov 25 17:38:46 +0000 2019,1199019609132871686,0,0,False,@anitasarkeesian Holy shit. Find something else to bitch about and just enjoy the show
13,GastrightJc,Mon Nov 25 17:35:46 +0000 2019,1199018853461835782,0,0,False,"@anitasarkeesian Fear not, it is now impossible to determine who is female based on any scientific standard. The studio can just offer a cash bonus for identifying as a woman and the problem will be solved."
14,ju_zeta,Mon Nov 25 17:33:49 +0000 2019,1199018365001641984,0,0,False,@anitasarkeesian These a storyline here. Stupid comment on the female mandalorian. The helmet is the damn point of their religion...woke garbage. Come on.
15,JLWexperience,Mon Nov 25 17:32:29 +0000 2019,1199018029113208832,0,0,False,@anitasarkeesian Maybe @Disney actually wanted it to be successful?? 🤔
16,Bohemiaseeds,Mon Nov 25 17:26:17 +0000 2019,1199016467800449025,0,0,False,@anitasarkeesian More SW female looks like .. YEA !!!!! MORE WAMEN!!!! https://t.co/Dj3wA9mBdd
17,BKak47,Mon Nov 25 17:23:37 +0000 2019,1199015799060680709,0,0,False,@anitasarkeesian Trying to find things to be offended about 👏🏻👏🏻. That’s real activism
18,SapBlue12,Mon Nov 25 16:58:14 +0000 2019,1199009411714318336,0,0,False,"@anitasarkeesian What you’re doing here isn’t a movement. You’re watering down actual sexism. This is a TV show, part of a canon and timeline that has been trailblazing for all since 1977. With countless, numerous female leads and women of power who are respected by the fan base. You’re tired."
