,Author,Time,URL,Favorites,Retweets,Verified,Text
0,timandsid,Tue Jan 07 18:45:58 +0000 2020,1214619199575920640,1136,94,True,"If not, what was better? 

Drop your answers below...👇

#HockeyTwitter | #McDavid https://t.co/stDWBNkrGI"
1,daveOevans,Wed Jan 08 16:33:24 +0000 2020,1214948227755257856,0,0,False,"@timandsid Maxim Afinogenov

https://t.co/HbZ5fMpaHq"
2,artcgreen,Wed Jan 08 15:40:32 +0000 2020,1214934920969248768,0,0,False,@timandsid Pavel Bure like moves lol 😂
3,NOVASoMe1,Wed Jan 08 15:20:28 +0000 2020,1214929870477770753,0,0,False,@timandsid It's a basketball move on skates. Not easy to do.
4,Fox_Matthew,Wed Jan 08 14:57:47 +0000 2020,1214924164802469888,0,0,False,"@timandsid Yo, if the social media was around in the 80’s my skill goal against my foam mattress padded goalie neighbor (also 9) would blown up the internets. ¯\_(ツ)_/¯ #justsaying"
5,Ushzilla1986,Wed Jan 08 14:54:03 +0000 2020,1214923222279499776,0,0,False,@timandsid https://t.co/prXPIqY2Dp
6,Ushzilla1986,Wed Jan 08 14:52:42 +0000 2020,1214922885011329027,0,0,False,"@timandsid No I grew up with Datsyuk, we all know he had some real beauties"
7,Ushzilla1986,Wed Jan 08 14:57:38 +0000 2020,1214924125585719297,0,0,False,@timandsid https://t.co/O2G4uiqWEA
8,middlesc_72,Wed Jan 08 14:52:00 +0000 2020,1214922708418531329,0,0,False,@timandsid The Rick Middleton goal that was on the start of rock em sock em videos
9,MassF,Wed Jan 08 14:33:16 +0000 2020,1214917995706900482,0,0,False,@timandsid Remember this one? Denis Savard vs Oilers https://t.co/oLUhMBDkKF
10,giver_sliver,Wed Jan 08 14:27:41 +0000 2020,1214916589432082432,0,0,False,@timandsid Yes. Period.
11,LorneRubis,Wed Jan 08 14:25:12 +0000 2020,1214915964036243458,0,0,False,@timandsid Yes
12,TrevorMVickress,Wed Jan 08 13:19:40 +0000 2020,1214899471731109894,0,0,False,@timandsid Yes it was the best
13,chris17726216,Wed Jan 08 12:33:02 +0000 2020,1214887736496275456,0,0,False,@timandsid His between the legs against bishop last year was far better but this is nice
14,JBPVFM,Wed Jan 08 11:59:03 +0000 2020,1214879184838889473,0,0,False,@timandsid Paul Henderson
15,bshell78,Wed Jan 08 11:44:37 +0000 2020,1214875553712496640,0,0,False,@timandsid https://t.co/w89ScMQE4y
16,garyhen9,Wed Jan 08 10:30:41 +0000 2020,1214856947486396417,0,0,False,"@timandsid How about Mario’s against Minnesota?
https://t.co/eblULPfnef"
17,doktordave,Wed Jan 08 06:58:14 +0000 2020,1214803480600305664,0,0,False,"@timandsid nope.  A great move, but Marner has been more spectacular on occasion."
18,LNZ82,Wed Jan 08 06:31:29 +0000 2020,1214796749568643072,0,0,False,"@timandsid As an long life leaf fan, I will take the loss just to see that goal. Also feel bad for Riley for having to watch himself getting undressed by mcdavid for the rest of his life!"
19,LNZ82,Wed Jan 08 06:32:58 +0000 2020,1214797121628639232,0,0,False,@timandsid Also....would’ve like to have seen how Andersen would’ve handled it....providing he was on his game.
20,red_zed24,Wed Jan 08 06:11:59 +0000 2020,1214791841469648896,0,0,False,@timandsid Why does everything always have to be the best ever? Media sucks. Love the show but this crap is annoying. Was a great play sure but come on.
21,RobertL05464438,Wed Jan 08 06:06:15 +0000 2020,1214790400541708288,0,0,False,@timandsid It’s gotta be in top 10 all time but I remember a couple guys Wayne and Mario had some beauties and throw in Dennis Savard and his magic in Chicago
22,Deniscbrl87,Wed Jan 08 05:21:45 +0000 2020,1214779199279554561,0,0,False,@timandsid https://t.co/3uVldguke0
23,lilley_5,Wed Jan 08 05:13:25 +0000 2020,1214777101481590784,0,0,False,@timandsid Gretzky slap shot breakaway just 'cause.
24,lilley_5,Wed Jan 08 05:11:32 +0000 2020,1214776627437146113,0,0,False,@timandsid Not even close.Nice though.
25,Clockworkfuse,Wed Jan 08 04:41:30 +0000 2020,1214769072665190403,0,0,False,@timandsid Not a chance. What a stupid question.
26,TerryHickman19,Wed Jan 08 04:31:51 +0000 2020,1214766643500453889,0,0,False,"@timandsid Nice goal, Federov in Detroit had a few nice goals....."
27,CardCrony,Wed Jan 08 04:26:30 +0000 2020,1214765295841116160,1,0,False,@timandsid I think so. The other one I'm thinking of is Mario on Ray Bourque. You know the one.
28,SportsRockToo,Wed Jan 08 04:24:27 +0000 2020,1214764780600250370,0,0,False,@timandsid Gretzky to Lemieux. Canada Cup. 1987.
29,jasonnyandcher,Wed Jan 08 04:21:58 +0000 2020,1214764155091091456,0,0,False,@timandsid Yes
30,jrockarolla,Wed Jan 08 04:18:29 +0000 2020,1214763279530254336,0,0,False,@timandsid That time Grimson scored with his head.
31,upfromthesea,Wed Jan 08 04:14:39 +0000 2020,1214762314114748416,0,0,False,@timandsid note much sports center cyberattack the story of the cell bug bunny duffy duck tarsands manipulated L-fields. Really bad &amp; getting arrogantly worst audio signature vacation raptors/blazers watt ever freedom of consciousness sound body &amp; mind/mine dixie chicks audiovisualsignature https://t.co/ts8Dn5RO8R
32,JudySchwindt,Wed Jan 08 03:56:20 +0000 2020,1214757705899888640,0,0,False,@timandsid Yes
33,robcotnam,Wed Jan 08 03:53:59 +0000 2020,1214757113039335424,0,0,False,"@timandsid Marek Malik's marathon shootout winner, Rangers over Caps, Nov 2005."
