AUTHOR,JOURNAL,MONTH,YEAR,POEM TITLE,FILENAME,VOL,NO,NOTES
EVERETT_HERBERT,Mas,1,1911,Who Can Blame?,mas0001.txt,1,1,Added
UNTERMEYER_LOUIS,Mas,7,1912,The Parade,mas0002.txt,4,1,Added
ELDRIDGE_PAUL,Mas,7,1912,The Songs of To-Day,mas0003.txt,4,1,Added
SMITH_EDITH,Mas,7,1912,The Mills of the Rich,mas0004.txt,4,1,Added
UNTERMEYER_LOUIS,Mas,1,1912,At the Terminal,mas0005.txt,3,1,Added
BARNARD_SEYMOUR,Mas,10,1913,Woman's Place - A Nursery Rhyme,mas0006.txt,5,1,Added
BYNNER_WITTER,Mas,10,1913,Hobbledehoy,mas0007.txt,5,1,Added
FIELD_MARY,Mas,10,1913,A Scrub,mas0008.txt,5,1,Added
BENET_WILLIAM,Mas,10,1913,The Laughing Woman,mas0009.txt,5,1,Added
GIBSON_LYDIA,Mas,10,1913,Lies,mas0010.txt,5,1,Added
LOVELY_CHRIS,Mas,10,1913,The Laureate,mas0011.txt,5,1,Added
HERFORD_WILL,Mas,10,1913,Eighth Heaven,mas0012.txt,5,1,Added
McKENNA_EDMOND,Mas,10,1914,Prelude,mas0013.txt,6,1,Added
BULL_NINA,Mas,10,1914,Miracle,mas0014.txt,6,1,Added
DAVIES_MARY,Mas,10,1914,Custom,mas0015.txt,6,1,Added
M_M,Mas,10,1914,The Public School Teacher,mas0016.txt,6,1,Added
MILLER_ALICE,Mas,11,1915,To Everett P. Wheeler,mas0017.txt,7,1,Added
UNTERMEYER_LOUIS,Mas,11,1915,Portrait of a Group,mas0018.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,A Keen Observer Visits London,mas0019.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,A Nursery Rhyme,mas0020.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,Cinderalla's Big Idea,mas0021.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,Germany Puts Into Practice Her New Naval Policy,mas0022.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,Italy Finds a Solution of the Over-Population Problem,mas0023.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,A Noticeable Lack of Harmony,mas0024.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,George Explains His Misunderstanding with William,mas0025.txt,7,1,Added
BRUBAKER_HOWARD,Mas,11,1915,The Unfortunate Finish of a Celebrated Boob,mas0026.txt,7,1,Added
UNTERMEYER_JEAN,Mas,11,1915,Deliverance,mas0027.txt,7,1,Added
VACHEL_LINDSAY,Mas,11,1915,Mice,mas0028.txt,7,1,Added
WILKINSON_MARGUERITE,Mas,11,1915,Woman Returning,mas0029.txt,7,1,Added
MATSON_NORMAN,Mas,11,1916,Appeal,mas0030.txt,9,1,Added
McMAHON_JOHN,Mas,8,1912,Taking Off the Bandage,mas0031.txt,4,2,Added
WEEKS_RUFUS,Mas,2,1912,The New America,mas0032.txt,3,2,Added
OSHEEL_TOD,Mas,11,1913,Royalty,mas0033.txt,5,2,Added
LAWSON_W,Mas,11,1913,The Ancient and Honorable Offertory,mas0034.txt,5,2,Added
ANONYMOUS,Mas,11,1913,"Lines to a Pomeranian Puppy Valued at $3,500",mas0035.txt,5,2,Added - No Author
STOKES_ROSE,Mas,11,1913,Paterson,mas0036.txt,5,2,Added
SMITH_G,Mas,11,1913,A weary burden ponderously borneÅEc,mas0037.txt,5,2,Added
KEMP_HARRY,Mas,11,1913,To Kipling,mas0038.txt,5,2,Added
ANONYMOUS,Mas,11,1913,Philosophy,mas0039.txt,5,2,Added - No Author
WOOD_CLEMENT,Mas,11,1914,A Breath of Life,mas0040.txt,6,2,Added
UNTERMEYER_LOUIS,Mas,11,1914,The Old Deserter,mas0041.txt,6,2,Added
BEACH_JOSEPH,Mas,11,1914,Old Glory at Calumet: A Copper-Country Ballad,mas0042.txt,6,2,Added
WADDELL_ELIZABETH,Mas,11,1914,Them and Their Wives,mas0043.txt,6,2,Added
HOPKINS_GERTRUDE,Mas,11,1914,Death Masks,mas0044.txt,6,2,Added
WIDDEMER_MARGARET,Mas,11,1914,God and the Strong Ones,mas0045.txt,6,2,Added
HOYT_HELEN,Mas,12,1915,The Lover Sings Sings of a Garden,mas0046.txt,8,2,Added
SHANAFELT_CLARA,Mas,12,1915,Interlude,mas0047.txt,8,2,Added
SHANAFELT_CLARA,Mas,12,1915,Self Portrait,mas0048.txt,8,2,Added
SHANAFELT_CLARA,Mas,12,1915,To Virtuous Critics,mas0049.txt,8,2,Added
EASTMAN_MAX,Mas,12,1915,Sketch,mas0050.txt,8,2,Added
GIBSON_LYDIA,Mas,12,1915,Autumn Song,mas0051.txt,8,2,Added
GIBSON_LYDIA,Mas,12,1915,Downward,mas0052.txt,8,2,Added
BURNET_DANA,Mas,12,1915,The Mouse,mas0053.txt,8,2,Added
MOWRER_PAUL,Mas,12,1915,Tricolor,mas0054.txt,8,2,Added
