id,titles,urls,edit_count,num_editors,edits_by_top_editors,word_count,reverted_edits
1,$#*! My Dad Says,/wiki/$h*!_My_Dad_Says,576,287,"172
                                ·
                                (29.9%)",784,188
2,CBS,/wiki/CBS,"4,639","2,127","681
                                ·
                                (14.7%)","20,503",577
3,"The $64,000 Challenge","/wiki/The_$64,000_Question#The_$64,000_Challenge",515,282,"119
                                ·
                                (23.1%)","3,743",21
4,"The $64,000 Question","/wiki/The_$64,000_Question",515,282,"119
                                ·
                                (23.1%)","3,743",21
5,edit,/w/index.php?title=List_of_American_television_programs&action=edit&section=2,NA,NA,NA,NA,NA
6,1 vs. 100,/wiki/1_vs._100_(U.S._game_show),"1,522",510,"538
                                ·
                                (35.3%)","1,738",58
7,1st & Ten,/wiki/1st_%26_Ten_(1984_TV_series),165,106,"58
                                ·
                                (35.2%)",820,7
8,10 Things I Hate About You,/wiki/10_Things_I_Hate_About_You_(TV_series),892,464,"195
                                ·
                                (21.9%)",862,90
9,12 Monkeys,/wiki/12_Monkeys_(TV_series),881,244,"542
                                ·
                                (61.5%)","2,972",95
10,The 100,/wiki/The_100_(TV_series),"2,982","1,040","910
                                ·
                                (30.5%)","2,689",624
11,100 Deeds for Eddie McDowd,/wiki/100_Deeds_for_Eddie_McDowd,527,310,"130
                                ·
                                (25%)",244,42
12,1600 Penn,/wiki/1600_Penn,380,198,"124
                                ·
                                (32.6%)",530,44
13,100 Questions,/wiki/100_Questions,181,86,"94
                                ·
                                (51.9%)",203,11
14,106 & Park,/wiki/106_%26_Park,"2,952",872,"1,282
                                ·
                                (43.4%)","1,051",192
15,2 Broke Girls,/wiki/2_Broke_Girls,"2,073","1,042","406
                                ·
                                (19.6%)","2,312",230
16,20/20,/wiki/20/20_(US_television_series),4,???,"1
                                ·
                                (25%)","1,832",0
17,21 Jump Street,/wiki/21_Jump_Street,"1,143",714,"162
                                ·
                                (14.2%)","1,319",143
18,227,/wiki/227_(TV_series),"1,101",385,"454
                                ·
                                (41.2%)",976,31
19,24,/wiki/24_(TV_series),"14,261","6,081","1,806
                                ·
                                (12.7%)","6,344","1,692"
20,24: Conspiracy,/wiki/24:_Conspiracy,105,61,"54
                                ·
                                (51.4%)",194,2
21,24: Live Another Day,/wiki/24:_Live_Another_Day,"1,341",412,"638
                                ·
                                (47.6%)","2,594",149
22,3 lbs,/wiki/3_lbs,251,166,"49
                                ·
                                (19.5%)",155,9
