"number","title","pageid","namespace","length","touched"
"1","Ani_DiFranco","2126","","62379","20200127172158"
"2","Bernie_Federko","3984","","14838","20200128225959"
"3","Bandy","4444","","74616","20200128230000"
"4","Bob_Young_(businessman)","4797","","4881","20200118142859"
"5","Bob_Costas","4893","","77219","20200126025105"
"6","Charles_Baxter_(author)","6261","","5821","20200128230000"
"7","Detroit_Red_Wings","8795","","151176","20200128230621"
"8","Fenway_Park","11238","","99934","20200128092333"
"9","Garnet_Bailey","12556","","12101","20200125221533"
"10","Hank_Greenberg","13627","","49927","20200129065430"
"11","Ice_hockey","14790","","115040","20200129030227"
"12","James_G._Blaine","16208","","92092","20200122110218"
"13","John_Danforth","16238","","20310","20200129014920"
"14","James_Norris_Memorial_Trophy","16437","","13340","20200126042540"
"15","Kofi_Annan","16844","","116999","20200128230621"
"16","Marv_Albert","20132","","31977","20200126025105"
"17","Murray_Gell-Mann","20476","","40878","20200128230004"
"18","National_Hockey_League","21809","","114854","20200128222953"
"19","Ottawa_Senators","22705","","101883","20200128230622"
"20","Robert_Frost","25951","","44294","20200129163431"
"21","T._S._Eliot","30273","","90188","20200128230008"
"22","Ted_Turner","30475","","54389","20200129105905"
"23","Tom_Burnett","30895","","22326","20200125221540"
"24","Wayne_Gretzky","33422","","157272","20200129014700"
"25","Williams_College","34105","","75442","20200127194330"
"26","Edna_Ferber","37283","","20055","20200126131857"
"27","William_H._Riker","37554","","6226","20200118142956"
"28","Peter_Tork","39047","","44942","20200125221543"
"29","Ice_hockey_at_the_2002_Winter_Olympics","40017","","10210","20200125185606"
"30","Wrigley_Field","40224","","124355","20200128230624"
"31","Steve_Goodman","40232","","19924","20200128230013"
"32","Hayley_Wickenheiser","40628","","38098","20200128230013"
"33","Walter_Mondale","42172","","56442","20200128160010"
"34","Charles_M._Schulz","42198","","51544","20200127172206"
"35","Hubert_Humphrey","42636","","146047","20200128230013"
"36","Montreal_Canadiens","42966","","79161","20200128230624"
"37","Edward_Albee","44309","","24526","20200128230014"
"38","Hockey_puck","53347","","19512","20200128230625"
"39","Jack_Buck","60025","","39059","20200128174436"
"40","Roy_Lichtenstein","60143","","67347","20200127172210"
"41","Amherst_College","60355","","59181","20200127194330"
"42","Lev_Yashin","60886","","36402","20200129030227"
"43","Ice_skate","64120","","17262","20200125221553"
"44","Evel_Knievel","66427","","80106","20200127172210"
"45","New_Jersey_Devils","66743","","130953","20200128230627"
"46","New_York_Islanders","66880","","139692","20200128230627"
"47","New_York_Rangers","66881","","116479","20200128230627"
"48","Philadelphia_Flyers","66941","","134579","20200129105904"
"49","Pittsburgh_Penguins","66964","","107238","20200128230627"
"50","Stanley_Cup","66968","","72767","20200128230627"
"51","Hockey_Night_in_Canada","66972","","105775","20200128230019"
"52","Boston_Bruins","69523","","119766","20200129145154"
"53","Buffalo_Sabres","69918","","96048","20200128230628"
"54","Toronto_Maple_Leafs","70155","","193873","20200128230628"
"55","Atlanta_Thrashers","70501","","38103","20200127172915"
"56","Carolina_Hurricanes","70523","","63176","20200128230628"
"57","Florida_Panthers","70551","","47149","20200128230628"
"58","Colorado_Avalanche","70948","","114392","20200128230628"
"59","Toronto_Raptors","72879","","137814","20200129061508"
"60","Tampa_Bay_Lightning","73124","","98232","20200128230628"
"61","Washington_Capitals","73125","","77129","20200128230628"
"62","Chicago_Blackhawks","73126","","151321","20200128230628"
"63","Columbus_Blue_Jackets","73128","","82021","20200128230628"
"64","Edmonton_Oilers","73129","","113289","20200128230628"
"65","Minnesota_Wild","73132","","60580","20200128230628"
"66","Vancouver_Canucks","73133","","135668","20200128230628"
"67","Anaheim_Ducks","73134","","77762","20200129165845"
"68","Dallas_Stars","73135","","83023","20200128230628"
"69","Los_Angeles_Kings","73136","","89859","20200129165845"
"70","Arizona_Coyotes","73138","","59891","20200128230628"
"71","San_Jose_Sharks","73139","","74685","20200129165845"
"72","Nashville_Predators","73140","","60296","20200128230628"
"73","Hockey_Hall_of_Fame","74098","","42771","20200126042540"
"74","Foster_Hewitt","74338","","10047","20200128230021"
"75","Madison_Square_Garden","75129","","65483","20200128230021"
"76","Maurice_Richard","77270","","66031","20200127172211"
"77","Melvin_Laird","80225","","63812","20200118143054"
"78","Todd_McFarlane","82471","","64741","20200127172212"
"79","Tufts_University","84077","","97905","20200128230024"
"80","Paul_Henderson","86402","","51587","20200128220225"
"81","Bobby_Orr","86913","","93873","20200125221559"
"82","Lillestrøm_SK","87161","","32556","20200128230629"
"83","John_Candy","90239","","35103","20200128032628"
"84","University_of_Massachusetts_Boston","99867","","170244","20200127194330"
"85","Xavier_Serbiá","102374","","3740","20200120022802"
"86","Dodger_Stadium","102796","","54028","20200128230630"
"87","Jerry_Seinfeld","104492","","66870","20200128072213"
"88","Bobby_Hull","105319","","32536","20200118143132"
"89","Hart_Memorial_Trophy","113663","","19247","20200126042540"
"90","Art_Ross_Trophy","132858","","16018","20200118143305"
"91","Paul_Wellstone","137707","","52244","20200128230031"
"92","Wendell_R._Anderson","137987","","10841","20200118142840"
"93","Thomas_D'Arcy_McGee","141361","","20042","20200124153804"
"94","Gordie_Howe","141390","","63601","20200128164415"
"95","Lester_Patrick_Trophy","142962","","12860","20200126042540"
"96","James_Mark_Baldwin","144930","","21661","20200119094052"
"97","Mario_Lemieux","148878","","81573","20200127172220"
"98","Lambeau_Field","149583","","65667","20200128230034"
"99","Marcus_Camby","149792","","37556","20200125221618"
"100","Nottingham_Forest_F.C.","157294","","126290","20200128230636"
"101","Steve_Yzerman","162154","","51360","20200127172221"
"102","Thorstein_Veblen","162385","","41257","20200118142918"
"103","Brampton_Battalion","163215","","34004","20200126230240"
"104","Cyrus_Vance","165126","","27088","20200125221623"
"105","Ice_hockey_in_Slovakia","166015","","4685","20200118142924"
"106","Eugene_McCarthy","166899","","45894","20200128230039"
"107","Jacques_Plante","167874","","48386","20200128230039"
"108","John_Deere_(inventor)","169038","","10471","20200128230040"
"109","Broad_Street_Bullies","169077","","118","20200125133139"
"110","Macalester_College","170570","","44107","20200128230040"
"111","Rogers_Centre","171554","","102575","20200128230637"
"112","Colby_College","171807","","52830","20200127194330"
"113","Larry_Millett","172037","","4397","20200128230041"
"114","Ysaye_Maria_Barnwell","174819","","4984","20200128230041"
"115","Babson_College","176824","","30490","20200128034700"
"116","James_Wright_(poet)","177369","","8744","20200118142940"
"117","Jumbo","177442","","24372","20200128230042"
"118","T._C._Boyle","179596","","21322","20200127201402"
"119","Sumner_Redstone","183051","","45187","20200129105905"
"120","Perseus_Project","185832","","4572","20200128230046"
"121","Joe_Krol","187629","","11441","20200128032628"
"122","Russ_Jackson","187630","","14245","20200128032628"
"123","WPXN-TV","188003","","21568","20200128043845"
"124","Dave_Fridmann","188685","","10802","20200118142952"
"125","Doug_Flutie","189559","","48211","20200128032628"
"126","WGN-TV","189764","","261345","20200129031802"
"127","John_Molson","189913","","22829","20200129092240"
"128","Darren_Flutie","190091","","6153","20200128032628"
"129","Marc_Boerigter","190197","","5917","20200128032628"
"130","Bowdoin_College","197798","","70039","20200128230049"
"131","Vladimir_Petrov_(ice_hockey)","199112","","9401","20200123135037"
"132","Jerry_Colangelo","200760","","23357","20200129013719"
"133","American_Hockey_League","207085","","71689","20200128204549"
"134","Doug_Gilmour","207480","","53924","20200118230948"
"135","Donella_Meadows","207840","","13365","20200128230053"
"136","Ari_Fleischer","207923","","23276","20200123235545"
"137","Queen_Noor_of_Jordan","208375","","22471","20200125221635"
"138","Power_play_(sporting_term)","208576","","13599","20200120023042"
"139","Carleton_College","209157","","58964","20200127194330"
"140","Bell_Centre","212662","","29080","20200125221636"
"141","Hobey_Baker","216480","","41738","20200127194330"
"142","Ontario_Hockey_League","218742","","25691","20200120022206"
"143","Canadian_Hockey_League","218745","","17409","20200118143027"
"144","Western_Hockey_League","218746","","37563","20200128155206"
"145","Quebec_Major_Junior_Hockey_League","218747","","33393","20200118143027"
"146","Scandinavium","218886","","19041","20200125221637"
"147","College_of_Saint_Benedict_and_Saint_John's_University","219952","","60113","20200128045809"
"148","Don_Cherry","221725","","63440","20200126030937"
"149","George_Tenet","224452","","47623","20200118143031"
"150","Ice_Hockey_World_Championships","224637","","123936","20200129030228"
"151","Tim_O'Brien_(author)","226043","","13937","20200128230055"
"152","Memorial_Cup","230656","","10243","20200128145717"
"153","Bob_Chiarelli","232677","","16171","20200118230949"
"154","Saku_Suurhall","234979","","5477","20200123202223"
"155","Target_Center","237003","","28509","20200123135439"
"156","Xcel_Energy_Center","237028","","28659","20200125221638"
"157","Toronto_Arenas","237029","","11782","20200122014042"
