,title,url,genre,subgenres
0,play,/wiki/Play_(theatre),Exclusions,
1,Ballroom dance,/wiki/Ballroom_dance,Exclusions,
2,Religious music,/wiki/Religious_music,Exclusions,
3,Military music,/wiki/Military_band,Exclusions,
4,traditional music,/wiki/Traditional_music,Exclusions,
5,Afrobeat,/wiki/Afrobeat,By region,African
6,African hip hop,/wiki/African_hip_hop,By region,African
7,African heavy metal,/wiki/African_heavy_metal,By region,African
8,AmaPiano,/w/index.php?title=AmaPiano&action=edit&redlink=1,By region,African
9,Apala,/wiki/Apala,By region,African
10,Benga,/wiki/Benga_music,By region,African
11,Boomba,/wiki/Boomba_music,By region,African
12,Bongo Flava,/wiki/Bongo_Flava,By region,African
13,Bikutsi,/wiki/Bikutsi,By region,African
14,Bubblegum,/w/index.php?title=Bubblegum_(African_music_genre)&action=edit&redlink=1,By region,African
15,Cape Jazz,/wiki/Cape_Jazz,By region,African
16,Chimurenga,/wiki/Chimurenga_music,By region,African
17,Congolese rumba,/wiki/Congolese_rumba,By region,African
18,Coupé-Décalé,/wiki/Coup%C3%A9-D%C3%A9cal%C3%A9,By region,African
19,Fuji,/wiki/Fuji_music,By region,African
20,Genge,/wiki/Genge,By region,African
21,Highlife,/wiki/Highlife,By region,African
22,Hiplife,/wiki/Hiplife,By region,African
23,Igbo highlife,/wiki/Igbo_highlife,By region,African
24,Igbo rap,/wiki/Igbo_rap,By region,African
25,Isicathamiya,/wiki/Isicathamiya,By region,African
26,Jit,/wiki/Jit,By region,African
27,Jùjú,/wiki/J%C3%B9j%C3%BA_music,By region,African
28,Gospel,/wiki/Gospel_music,By region,African
29,Gqom,/wiki/Gqom,By region,African
30,Kadongo Kamu,/wiki/Kadongo_Kamu,By region,African
31,Kizomba,/wiki/Kizomba,By region,African
32,Kuduro,/wiki/Kuduro,By region,African
33,Kwaito,/wiki/Kwaito,By region,African
34,Kwela,/wiki/Kwela,By region,African
35,Makossa,/wiki/Makossa,By region,African
36,Maloya,/wiki/Maloya,By region,African
37,Marabi,/wiki/Marabi,By region,African
38,Marrabenta,/wiki/Marrabenta,By region,African
39,Mbalax,/wiki/Mbalax,By region,African
40,Mbaqanga,/wiki/Mbaqanga,By region,African
41,Mbube,/wiki/Mbube_(genre),By region,African
42,Morna,/wiki/Morna_(music),By region,African
43,Ndombolo,/wiki/Ndombolo,By region,African
44,Ohangla,/wiki/Ohangla,By region,African
45,Orutu,/wiki/Orutu,By region,African
46,Palm-wine,/wiki/Palm-wine_music,By region,African
