"number","title","pageid","namespace","length","touched"
"1","Abner_Doubleday","1135","","27799","20200128225958"
"2","Alan_Garner","1152","","39967","20200125221530"
"3","Amos_Bronson_Alcott","1384","","51397","20200128225958"
"4","Arnold_Schwarzenegger","1806","","201842","20200129064740"
"5","Andrew_Carnegie","1938","","103624","20200128225958"
"6","Albert_Pike","2371","","23589","20200128225959"
"7","Adam_Carolla","2723","","64991","20200129023533"
"8","Barbara_Olson","4195","","9320","20200128230000"
"9","Bob_Jones_University","4717","","88005","20200125221531"
"10","Barry_Goldwater","4792","","100684","20200129151904"
"11","Bob_Knight","4871","","89784","20200129013719"
"12","C._S._Lewis","5813","","103685","20200129154431"
"13","Cecil_B._DeMille","6176","","140163","20200128230000"
"14","Colin_Powell","6984","","107682","20200128230000"
"15","Charles_Evers","7131","","20205","20200121025617"
"16","Charles_Evans_Hughes","7525","","70754","20200128235659"
"17","Doris_Day","8300","","71725","20200128230000"
"18","David_Mamet","8351","","34987","20200128230000"
"19","Dwight_Schultz","8425","","24993","20200125221532"
"20","Donald_Rumsfeld","8629","","104816","20200128230000"
"21","Desi_Arnaz","8774","","32384","20200128230000"
"22","Dennis_Hopper","8791","","59219","20200128230000"
"23","Dean_Koontz","8910","","22547","20200129164721"
"24","Dana_Rohrabacher","8953","","137119","20200128235603"
"25","E._E._Cummings","9591","","42107","20200128230001"
"26","Fay_Wray","10965","","23003","20200124115214"
"27","Frederick_Douglass","11033","","122215","20200128230621"
"28","Fox_News","11121","","185654","20200129152023"
"29","Two_Tribes","11261","","21343","20200127145238"
"30","Frank_Capra","11369","","72544","20200128230001"
"31","Fiorello_H._La_Guardia","11418","","53651","20200128230001"
"32","Gettysburg_Address","12384","","92537","20200128230001"
"33","George_Washington_Carver","12997","","66601","20200128230001"
"34","Henry_Kissinger","13765","","219354","20200129152023"
"35","Harrison_Schmitt","13793","","30574","20200128230002"
"36","Howard_Hughes","14059","","116489","20200129115523"
"37","John_Quincy_Adams","15654","","119767","20200129164246"
"38","Dan_Quayle","15923","","45903","20200128230003"
"39","J._Edgar_Hoover","16044","","99534","20200125131316"
"40","John_Wayne","16103","","88161","20200128230003"
"41","John_Engler","16148","","23520","20200128130802"
"42","Jack_Kemp","16200","","189395","20200128230003"
"43","Joseph_Gurney_Cannon","16207","","20165","20200121031536"
"44","James_G._Blaine","16208","","92092","20200122110218"
"45","John_Danforth","16238","","20310","20200129014920"
"46","Jim_Bakker","16240","","43185","20200128230003"
"47","James_Stewart","16273","","153624","20200128230003"
"48","John_Ashcroft","16476","","57748","20200129014920"
"49","Jerry_Falwell_Sr.","16504","","77073","20200128230003"
"50","Jon_Voight","16521","","47344","20200129064740"
"51","John_Hay","16578","","100594","20200120022654"
"52","Kenesaw_Mountain_Landis","16812","","90882","20200129065430"
"53","Kelsey_Grammer","17130","","63439","20200128230003"
"54","Kid_Rock","17396","","70925","20200120093437"
"55","Laura_Bush","17528","","128718","20200128230003"
"56","L._Frank_Baum","18188","","51714","20200129075911"
"57","Lycos","18366","","14605","20200129125800"
"58","Lou_Ferrigno","18685","","31765","20200127172202"
"59","Mary_Pickford","18823","","51675","20200128230004"
"60","Michael_Reagan","19198","","18476","20200118142924"
"61","Milton_Friedman","19640","","121784","20200128230004"
"62","Malcolm_Fraser","19734","","65411","20200128230621"
