"number","title","pageid","namespace","length","touched"
"1","Andre_Agassi","595","","129523","20200129061759"
"2","Articles_of_Confederation","691","","72990","20200121023454"
"3","American_Revolutionary_War","771","","247858","20200128230620"
"4","Andrew_Jackson","1623","","193001","20200129144808"
"5","American_Revolution","1973","","164021","20200129105000"
"6","Arthur_Miller","2310","","72915","20200129154058"
"7","Arthur_Phillip","2563","","43469","20200128225959"
"8","Arthur_St._Clair","2639","","19912","20200120022642"
"9","Aung_San_Suu_Kyi","2847","","201492","20200129160451"
"10","And_did_those_feet_in_ancient_time","2940","","48028","20200128225959"
"11","Bill_Clinton","3356","","227260","20200129014645"
"12","Benjamin_Franklin","3986","","181825","20200128230620"
"13","Brown_University","4157","","126754","20200128040024"
"14","Bertrand_Russell","4163","","125969","20200128230000"
"15","Burt_Lancaster","4537","","71374","20200128230000"
"16","Billy_Crystal","4649","","47475","20200128024051"
"17","William_M._Tweed","4688","","46616","20200128230000"
"18","Behistun_Inscription","4789","","27762","20200128230620"
"19","Charles_Sanders_Peirce","6117","","137974","20200127172159"
"20","Columbia_University","6310","","181415","20200128230000"
"21","Choctaw","7222","","169226","20200128230000"
"22","David_Lynch","7891","","125706","20200129114843"
"23","Kennedy_family","7957","","18529","20200128151115"
"24","Day_of_the_Tentacle","8090","","59072","20200120181144"
"25","Dave_Grohl","8099","","84573","20200125221532"
"26","David_Rice_Atchison","8662","","28506","20200129125944"
"27","Dr._Seuss","8855","","82334","20200128230000"
"28","Danny_Kaye","9002","","71465","20200127204708"
"29","Errol_Morris","9332","","37679","20200124115547"
"30","Ethan_Allen","9333","","74765","20200128230621"
"31","Elias_Boudinot","10133","","16552","20200127172200"
"32","Elbridge_Gerry","10293","","53945","20200127172200"
"33","Elie_Wiesel","10518","","73592","20200128230001"
"34","Francis_Ford_Coppola","10576","","100253","20200129164050"
"35","Frank_Zappa","10672","","149387","20200125221532"
"36","Franklin_D._Roosevelt","10979","","180961","20200129014645"
"37","Four_Freedoms","10980","","26581","20200128192204"
"38","Francis_Hopkinson","11022","","27042","20200126004801"
"39","George_Washington","11968","","199403","20200129062310"
"40","Gene_Kelly","12209","","62262","20200128230001"
"41","George_R._R._Martin","12300","","100840","20200125221533"
"42","Groucho_Marx","12426","","58102","20200128230001"
"43","Garrison_Keillor","12743","","62065","20200128230001"
"44","Gro_Harlem_Brundtland","13171","","23291","20200128230001"
"45","Henry_Ford","13371","","95602","20200128230001"
"46","Humphrey_Bogart","14045","","93962","20200128230002"
"47","Hugh_Hefner","14279","","43943","20200129052530"
"48","Henry_Middleton","14298","","11214","20200118142915"
"49","Henry_Laurens","14300","","16600","20200118142915"
"50","Harry_Shearer","14331","","69365","20200125221534"
"51","Heather_Fargo","14428","","9637","20200125221534"
"52","Harold_Eugene_Edgerton","14466","","22573","20200129160502"
"53","Isaac_Asimov","14573","","162779","20200129103103"
"54","Ich_bin_ein_Berliner","14581","","28882","20200127171102"
"55","Indian_removal","15080","","65581","20200128230003"
"56","Jello_Biafra","15616","","51862","20200128230003"
"57","Jack_Lemmon","15821","","37163","20200128230003"
"58","John_Lynch_(New_Hampshire)","15870","","37308","20200118142917"
"59","John_Graves_Simcoe","15918","","37567","20200127060201"
"60","James_Madison","15950","","114492","20200129153552"
"61","James_Monroe","15978","","104517","20200129151722"
"62","James_K._Polk","15980","","137474","20200129151027"
"63","Jimmy_Carter","15992","","250940","20200129014645"
"64","Janet_Reno","16099","","46368","20200124073201"
"65","Jefferson_Davis","16134","","132777","20200128230003"
"66","Jackson,_Mississippi","16167","","125680","20200125221534"
"67","Jim_Henson","16228","","68252","20200129061635"
"68","Jacques_Cousteau","16252","","51424","20200129100624"
"69","James_Randi","16278","","127183","20200125221534"
"70","John_Hancock","16324","","70841","20200128230003"
"71","John_Paul_Jones","16341","","51611","20200128230003"
"72","John_Hanson","16378","","27445","20200120022653"
"73","Jack_Kirby","16556","","143928","20200129163135"
"74","Kofi_Annan","16844","","116999","20200128230621"
"75","Kentucky_and_Virginia_Resolutions","17306","","39135","20200129142312"
"76","King's_Royal_Rifle_Corps","17330","","41776","20200118142920"
"77","Kirsten_Dunst","17450","","87779","20200127172202"
"78","Lee_Marvin","18433","","44482","20200128230004"
"79","Liv_Ullmann","18738","","27778","20200128230004"
"80","MTV","18856","","156036","20200129105905"
"81","Matt_Groening","18894","","61730","20200129061902"
"82","Marilyn_Monroe","19318","","127036","20200129154058"
"83","Marvin_Minsky","19639","","31967","20200127215736"
"84","Martin_Van_Buren","19763","","129359","20200129134921"
"85","Martin_Luther_King_Jr.","20076","","218347","20200128230004"
"86","Médecins_Sans_Frontières","20498","","107451","20200128230004"
"87","Mary_Robinson","20571","","90763","20200128230004"
"88","Mary_Tyler_Moore","20833","","56783","20200128230004"
"89","Noam_Chomsky","21566","","154903","20200127194330"
"90","Nathaniel_Hawthorne","21787","","46644","20200129060515"
"91","Naomi_Klein","22068","","58537","20200129060411"
"92","Oklahoma_City_bombing","22467","","184668","20200125221536"
"93","Peyton_Randolph","24905","","12622","20200118142934"
"94","Robert_Byrd","25408","","223209","20200128230005"
"95","Rolling_Stone","25441","","70726","20200128231225"
"96","Rob_Reiner","26264","","28758","20200124091848"
"97","Richard_Henry_Lee","26289","","15384","20200118142936"
"98","Steven_Spielberg","26940","","179195","20200128230006"
"99","Stephen_King","26954","","117328","20200129155320"
"100","Sheryl_Crow","27152","","68456","20200127053952"
"101","Saki","28810","","33501","20200128230007"
"102","Samuel_Mudd","28812","","35344","20200128230007"
"103","Seymour_Cray","29103","","28126","20200125221540"
"104","Marge_Simpson","29848","","55163","20200120022706"
"105","Thomas_Jefferson","29922","","193352","20200129101655"
"106","Ted_Turner","30475","","54389","20200129105905"
