"number","title","pageid","namespace","length","touched"
"1","Aristotle","308","","141635","20200128225958"
"2","Alain_Connes","340","","7548","20200128225958"
"3","Arithmetic_mean","612","","12199","20200127172158"
"4","Abacus","655","","50595","20200118142852"
"5","Atomic_number","673","","13834","20200128225958"
"6","Ambiguity","677","","30013","20200128143229"
"7","Albert_Einstein","736","","162145","20200129124739"
"8","Algorithms_(journal)","742","","3746","20200118142852"
"9","Algorithm","775","","108545","20200129122330"
"10","Alfred_Korzybski","784","","13261","20200128225958"
"11","Andrey_Markov","915","","10111","20200126125655"
"12","Axiom","928","","32667","20200128225958"
"13","Absolute_value","991","","28193","20200128225958"
"14","Aspect_ratio","1021","","5373","20200118142852"
"15","Algorithms_for_calculating_variance","1063","","30044","20200118142852"
"16","Avicenna","1130","","107181","20200128225958"
"17","Analysis","1134","","18366","20200118142852"
"18","Automorphism","1160","","11186","20200118142852"
"19","Artificial_intelligence","1164","","276418","20200129064006"
"20","Antisymmetric_relation","1176","","2825","20200127092704"
"21","Alan_Turing","1208","","186789","20200129123809"
"22","Anisotropy","1264","","17182","20200127172158"
"23","Almost_all","1309","","25930","20200118142853"
"24","Associative_property","1335","","23413","20200128225958"
"25","Alcuin","1408","","39029","20200128225958"
"26","Adiabatic_process","1419","","38238","20200127172158"
"27","Alfred_Russel_Wallace","1494","","122321","20200128225958"
"28","Kolmogorov_complexity","1635","","37707","20200128225958"
"29","Ibn_al-Haytham","1645","","114860","20200128225958"
"30","Ammonius_Hermiae","1723","","7960","20200127172158"
"31","Anaxagoras","1737","","20338","20200128225958"
"32","Alexander_Anderson_(mathematician)","1751","","6025","20200118142853"
"33","Arabic_numerals","1786","","27051","20200129000530"
"34","Augustin-Louis_Cauchy","1842","","41576","20200127172158"
"35","Archimedes","1844","","72732","20200128225958"
"36","Anthemius_of_Tralles","1873","","5063","20200120225652"
"37","Algebraic_geometry","1997","","59252","20200129152936"
"38","André_Weil","2019","","28173","20200128225958"
"39","Atle_Selberg","2021","","10695","20200128225958"
"40","Andrew_Wiles","2027","","23689","20200128225958"
"41","Alexander_Grothendieck","2042","","64238","20200128225958"
"42","Associative_algebra","2112","","21039","20200126123456"
"43","Axiom_of_regularity","2113","","21593","20200118142854"
"44","Analytic_geometry","2202","","38535","20200128225959"
"45","Analysis_of_algorithms","2230","","25301","20200125221530"
"46","Arthur_Eddington","2274","","50834","20200129085920"
"47","Audio_signal_processing","2322","","12428","20200128225959"
"48","Abstract_data_type","2349","","32244","20200118142854"
"49","Albrecht_Dürer","2402","","53832","20200128225959"
"50","Acceleration","2443","","20488","20200128225959"
"51","Automated_theorem_proving","2546","","24600","20200118142855"
"52","Autocorrelation","2724","","37570","20200128225959"
"53","Annals_of_Mathematics","2785","","6957","20200128225959"
"54","Antiderivative","2823","","18391","20200122014022"
"55","Angular_momentum","2839","","68667","20200128225959"
"56","AI-complete","2862","","10013","20200125221531"
"57","Ackermann_function","2925","","23900","20200125221531"
"58","Agner_Krarup_Erlang","2948","","11147","20200118142855"
"59","Convex_uniform_honeycomb","2961","","65513","20200128225959"
"60","Abelian_group","2974","","30938","20200126123456"
"61","Arithmetic–geometric_mean","3090","","12301","20200118142856"
"62","Asymptote","3107","","29295","20200128225959"
"63","Arithmetic","3118","","37536","20200128225959"
"64","Arithmetic_function","3170","","53011","20200118142856"
"65","Ascending_chain_condition","3189","","4060","20200128225959"
"66","Absolute_Infinite","3231","","9064","20200128225959"
"67","Amicable_numbers","3259","","14839","20200118142856"
"68","Bit","3364","","27396","20200125221531"
"69","Byte","3365","","38427","20200129053736"
"70","Binary-coded_decimal","3821","","53319","20200128225959"
"71","Binomial_distribution","3876","","42685","20200128225959"
"72","Business_statistics","3879","","2354","20200128225959"
"73","Binary_relation","3931","","43122","20200128225959"
"74","Bijection","3942","","18572","20200127174838"
"75","Boolean_algebra_(structure)","3959","","46270","20200128225959"
"76","Bandwidth_(signal_processing)","3967","","11595","20200129105800"
"77","Benoit_Mandelbrot","3999","","40690","20200128230000"
"78","Butterfly_effect","4024","","30550","20200125221531"
"79","Bletchley_Park","4037","","105230","20200129100238"
"80","Borsuk–Ulam_theorem","4064","","12340","20200128230000"
"81","Blaise_Pascal","4068","","48467","20200128230000"
"82","Binary_prefix","4077","","97100","20200125221531"
"83","BQP","4080","","8898","20200128230000"
"84","Brouwer_fixed-point_theorem","4101","","52694","20200128230000"
"85","Bertrand_Russell","4163","","125969","20200128230000"
"86","Bill_Schelter","4178","","3007","20200125221531"
"87","Dots_and_Boxes","4260","","9385","20200128090834"
"88","Binary_search_algorithm","4266","","74391","20200125221531"
"89","Biconditional_introduction","4286","","2020","20200107172600"
"90","Biconditional_elimination","4287","","2228","20200118142858"
"91","Brownian_motion","4436","","50511","20200118142858"
"92","Bra–ket_notation","4542","","40342","20200129152836"
"93","Bilinear_transform","4628","","16306","20200121112930"
"94","Banach_algebra","4665","","14695","20200118162210"
"95","Binomial_coefficient","4668","","62216","20200118142859"
"96","Binomial_theorem","4677","","33131","20200125221531"
"97","Bessel_function","4700","","55427","20200128230000"
"98","Boolean_satisfiability_problem","4715","","57440","20200120022643"
"99","Bidirectional_text","4733","","12510","20200125151407"
"100","Bernoulli's_inequality","4734","","8841","20200118142859"
"101","Body_mass_index","4788","","55873","20200129140922"
"102","Bucket_argument","4864","","26602","20200118142859"
"103","Bayesian_probability","4890","","30888","20200128230000"
"104","Naive_set_theory","4944","","34594","20200128230000"
"105","Bézout's_identity","4947","","9983","20200128132904"
"106","Bernoulli_number","4964","","88800","20200128143247"
"107","Berry_paradox","5036","","9236","20200118142859"
"108","Combinatorics","5170","","25689","20200128230000"
"109","Calculus","5176","","55296","20200128230000"
"110","Code","5225","","15213","20200129155305"
"111","Cipher","5244","","14564","20200128230000"
"112","Combination","5308","","25737","20200120022644"
"113","Computational_linguistics","5561","","42898","20200128230000"
"114","Consciousness","5664","","129690","20200129152348"
"115","Claude_Shannon","5693","","50400","20200128230000"
